HV-Mode Off
T-Waveform SineWave+LinRamp
T-Amplitude[K] 0.5
T-Frequency[Hz] 0.01
T-Offset[K] 273.15
Heating-Rate[K/s] 0.0027777
Cooling-Rate[K/s] 0.0111111
T-Limit-High[K] 432.15
T-Limit-Low[K] 273.15
0 0 296.577717336127
1.8193438 296.694637592181 296.254921589887
2.6275054 296.760570476827 296.067013115707
3.7547308 296.771776284269 295.906949109307
4.7149228 296.50838656545 295.745884702867
5.681116 296.16902956001 295.585487229787
6.6433084 295.895053445482 295.425089756707
7.6055008 295.751471821562 295.234180082407
8.7507298 295.666868693421 295.066946542387
9.7539304 295.567374842325 294.898879335667
10.762132 295.414138384463 294.731812528987
11.7643324 295.220391605608 294.581585789647
12.6655126 295.045342470549 294.420521383207
13.6317058 294.883876287921 294.230445375607
14.7719338 294.733088982187 294.063878768947
15.7711336 294.598868088855 293.896811962267
16.773334 294.450351720163 293.729078222227
17.7795352 294.285770349055 293.591356483387
18.6057004 294.140215755813 293.399279675707
19.7579308 293.96351338202 293.231712669007
20.7631318 293.811194396765 293.082152863027
21.6603112 293.672196406349 292.919254389847
22.6375066 293.518989660396 292.728678182227
23.7807352 293.348268480838 292.591956843427
24.6008992 293.207269096586 292.398546169027
25.7611312 293.032715933242 292.236814829227
26.7313252 292.874923735629 292.068747622507
27.7395268 292.721161382613 291.901514082487
28.7427274 292.562516554232 291.734447275807
29.7449278 292.403055750566 291.585054203167
30.641107 292.273307387185 291.395311662247
31.7793346 292.07875854908 291.235914589207
32.7355258 291.910585587748 291.075683849467
33.696718 291.756260115316 290.915786576407
34.6559098 291.61273672797 290.755889303347
35.6151016 291.469610494153 290.565479829067
36.75733 291.299348266907 290.397912822367
37.762531 291.134257312039 290.230846015687
38.7647314 290.967309608081 290.080786009687
39.6649114 290.81545800084 289.917387336487
40.6451074 290.658397294485 289.757656796767
41.603299 290.508660822726 289.566913855807
42.7475278 290.340643444265 289.400347249147
43.7467276 290.17901200954 289.232280042427
44.7549292 290.013878271996 289.065213235747
45.7571296 289.847279251881 288.897312762367
46.764331 289.685946619739 288.730079222347
47.7675316 289.526897140411 288.579852483007
48.6687118 289.380190754442 288.416787276487
49.6469074 289.221921833725 288.256890003427
50.6060992 289.068208005366 288.069481729267
51.730324 288.895262627738 287.901247789207
52.7395258 288.734368881511 287.734180982527
53.7417262 288.570226159443 287.567447642527
54.7419262 288.406384443693 287.400047369167
55.746127 288.244473147293 287.232980562487
56.7483274 288.082708412418 287.083754223187
57.6435064 287.953398845158 286.924190416807
58.6006978 287.780608343664 286.734614609227
60.6951166 287.438622966758 286.415320263127
61.6533082 287.286735103201 286.255589723407
62.6114998 287.135385925788 286.065847182487
63.7497274 286.962539738942 285.898280175787
64.7549284 286.799051066608 285.731046635767
65.758129 286.633551173894 285.581820296467
66.653308 286.480525658991 285.418421623267
67.633504 286.321039210955 285.228512349007
68.7727318 286.1488435218 285.061945742347
69.7719316 285.988527761857 284.895045669007
70.7731318 285.824403164084 284.728312329007
71.7733318 285.659225909789 284.561578989007
72.7735318 285.496486100797 284.394178715647
73.7777326 285.335636420425 284.226945175627
74.7809332 285.173715944991 284.077218636307
75.6791128 285.024202488406 283.893311762287
76.7823334 284.846098369908 283.755756756787
77.6074984 284.709901257738 283.564847082487
78.7527274 284.537805804288 283.398947409187
79.7479264 284.375335750573 283.231380402487
80.7531274 284.211993025304 283.064647062487
81.7533274 284.045701114257 282.897080055787
82.7585284 283.882548893976 282.730013249107
83.7607288 283.719289064476 282.580453443127
84.6579082 283.569899101061 282.417888436627
85.6331032 283.410473261371 282.227812429027
86.7733312 283.237894902543 282.062746422427
87.7635292 283.076839825756 281.897847149167
88.752727 282.913108335908 281.732114209207
89.7469258 282.751168117307 281.567214935947
90.7361236 282.589861729247 281.402315662687
91.7253214 282.430264106347 281.236415989387
